FID,CLASS,ROUTE_NO,SEG_NO,NAME,DATA_SRC,DESIG,EDITDATE,STATUS,STATCODE,DESC_SEG,,,,,TRAILROUTE,SUBDIST,Meters,Miles,Publish,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,DISTRIBUTE,RESTRICTION,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,ISEXTANT,CREATEDATE,CREATEUSER,EDITUSER,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYERROR,LOCATIONID,FEATUREID,GEOMETRYID,NOTES,INPLACES,PLACESID,GlobalID,SHAPE_Length
104,1,73,7,Nyack Creek,Garmin GPS, ,20120918,Digitized,NLTW,Cut Bank Pass Tr Jct, Old West Dawson Tr Jct,,,,T-073,Walton-Two Medicine,3648,2.27,Yes,Nyack Creek,,Nyack Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46358,,{56443145-54A9-46E3-8874-93A84A993A79},,Yes,,{98C225F1-1E3F-4DE6-A8DA-ADA82C497059},0.036504222
105,1,74,1,Surprise Pass,Garmin GPS, ,20120918,Digitized,NLTW,Nyack Creek Tr Jct, Surprise Pass,,,,T-074,Walton-Two Medicine,4008,2.49,Yes,Surprise Pass,,Surprise Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46379,,{A18266B8-DCAC-4AE7-9B4E-9B70BBBE3ECA},,Yes,,{0C3742C4-801E-4300-BBD0-23086EF7E864},0.044321785
106,2,75,4,Coal Creek,ESRI 2013, ,20120919,Imagery,NLTW,Fielding Tr Jct, Martha's Basin Tr Jct,,,,T-075,Walton-Two Medicine,13709,8.52,Yes,Coal Creek,,Coal Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,ESRI 2013,,,,46382,,{8B84BED7-4FF5-489B-952C-DDF5226BB44A},,Yes,,{BAB28923-A78A-4D94-8E97-15414A730627},0.158825188
107,1,75,3,Coal Creek,NAIP 2011, ,20140131,Imagery,NLTW,Coal Creek Patrol Cabin, Fielding Tr Jct,,,,T-075,Walton-Two Medicine,3164,1.97,Yes,Coal Creek,,Coal Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,NAIP 2011,,,,46382,,{A6F8609C-677D-4AAD-9C24-D433A611069A},,Yes,,{EABE00AA-A2A5-46AC-9300-8E95C2F45FD5},0.039804477
108,1,75,2,Coal Creek,NAIP 2011, ,20140131,Imagery,NLTW,South Boundary Tr Jct, Coal Creek Patrol Cabin,,,,T-075,Walton-Two Medicine,5781,3.59,Yes,Coal Creek,,Coal Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,NAIP 2011,,,,46382,,{0C74B569-B13F-446E-882B-9F8A68941081},,Yes,,{E96E7AE9-04EA-4378-9DC9-4D6EAA0DF467},0.071766916
109,1,75,1,Coal Creek,NAIP2009, ,20110228,Imagery,NLTW,Middle Fork Flathead R (TH), South Boundary Tr Jct,,,,T-075,Walton-Two Medicine,706,0.44,Yes,Coal Creek,,Coal Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,NAIP2009,,,,46382,,{BA805E30-4D73-4B9A-B2B8-35C120E0AD9E},,Yes,,{17E8514C-E20F-4E46-AFE0-213FDF9962E3},0.008811101
110,1,73,4,Nyack Creek,PLGR+ GPS/DOQQ 1991, ,20040129,GPS-old,NLTW,Old Red Eagle Tr Jct, Upper Nyack Creek CG,,,,T-073,Walton-Two Medicine,1329,0.83,Yes,Nyack Creek,,Nyack Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,PLGR+ GPS/DOQQ 1991,,,,46358,,{E115CF20-C833-4C86-8280-C456AEE83E90},,Yes,,{3A54D360-69E3-4003-A3B7-09DAD673CA7C},0.016915085
111,1,73,5,Nyack Creek,Garmin GPS, ,20120918,DIgitized,NLTW,Upper Nyack Creek CG, Upper Nyack Patrol Cabin,,,,T-073,Walton-Two Medicine,1726,1.07,Yes,Nyack Creek,,Nyack Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46358,,{272EF1C5-56C6-4590-80FC-AC614317F997},,Yes,,{5F48275D-3759-4838-92E4-5775DDE4C474},0.021810225
112,1,73,3,Nyack Creek,Garmin GPS, ,20120918,Digitized,NLTW,Lower Nyack Patrol Cabin, Old Red Eagle Tr Jct,,,,T-073,Walton-Two Medicine,9933,6.17,Yes,Nyack Creek,,Nyack Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46358,,{FFD5EC81-112F-46C9-A7FF-16B79297EBEC},,Yes,,{149A8B8C-644F-4248-96B5-1734903A7EC8},0.114127446
113,1,264,1,Twin Falls,Trimble Pro XRS, ,20060816,dGPS,SST,Two Med South Shore Tr Jct, Twin Falls,,,,T-264,Walton-Two Medicine,145,0.09,Yes,Twin Falls,,Twin Falls,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46617,,{DCE43D65-C832-4F5F-BE1D-1E427ABFDD7C},,Yes,,{D86784D4-15F9-4DD0-BD82-556C417090E2},0.001603053
114,1,98,6,Two Med South Shore,Trimble Pro XRS, ,20060816,dGPS,SST,Dawson Cutoff Tr Jct, Twin Falls Tr Jct,,,,T-098,Walton-Two Medicine,281,0.17,Yes,Two Med South Shore,,Two Med South Shore,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46404,,{3241E3AF-C10E-401C-B10D-87260F4826F1},,Yes,,{68CF98B8-A8C1-4DCC-9549-DAEEF2AE21DB},0.003090454
115,1,99,2,Dawson Pass,Trimble Pro XRS, ,20040127,dGPS,DPT,Dawson Cutoff Tr Jct, No Name Lake Tr Jct,,,,T-099,Walton-Two Medicine,2427,1.51,Yes,Dawson Pass,,Dawson Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46405,,{6C599DC0-7C75-4428-8361-22570AC1560F},,Yes,,{0FD8C90C-1FF5-42C1-BB90-7C0030109886},0.030255765
116,1,99,3,Dawson Pass,Trimble Pro XRS/NAIP2011, ,20120918,dGPS,DPT,No Name Lake Tr Jct, Dawson Pass,,,,T-099,Walton-Two Medicine,2987,1.86,Yes,Dawson Pass,,Dawson Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS/NAIP2011,,,,46405,,{4A503DDF-059F-439F-BC42-B9B489D4679B},,Yes,,{F8FC96D8-7513-40C1-999F-ECFCB24DEA35},0.036322321
117,1,276,1,No Name Lake,Trimble Pro XRS, ,20060808,dGPS,DPT,Dawson Pass Tr Jct, No Name Lake CG,,,,T-276,Walton-Two Medicine,406,0.25,Yes,No Name Lake,,No Name Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46663,,{B5CF35E2-5E01-4EC1-8817-B168C8B8F4AF},,Yes,,{292A28D0-A148-4B7E-84E1-02F99C78E841},0.004843531
118,1,99,4,Dawson Pass,NAIP 2011, ,20120918,Imagery,CBPT,Dawson Pass, Cut Bank Pass Tr Jct,,,,T-099,Walton-Two Medicine,5073,3.15,Yes,Dawson Pass,,Dawson Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,NAIP 2011,,,,46405,,{BAF6CC37-A803-423B-AFB0-FC7D7C1D3DD0},,Yes,,{59ADFE36-8950-4F81-8741-7FB958D0BD0E},0.054831225
119,1,99,5,Dawson Pass,USGS 1:24000-scale topo, ,0,Digitized,DPT,Cut Bank Pass Tr Jct, Pitamakin Pass Tr Jct,,,,T-099,Walton-Two Medicine,231,0.14,Yes,Dawson Pass,,Dawson Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,USGS 1:24000-scale topo,,,,46405,,{EF09A26D-B567-4FE2-B53E-FF121D66594A},,Yes,,{45F8D132-82D2-47B2-A93D-1C43430AB0AC},0.003052138
120,1,100,2,Oldman Lake,Trimble Pro XRS, ,20060825,dGPS,PPT,Pitamakin Pass Tr Jct, Old Man Lake CG (W),,,,T-100,Walton-Two Medicine,398,0.25,Yes,Oldman Lake,,Oldman Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46406,,{A181FB26-2F6F-400A-ABED-4BB851D91C6C},,Yes,,{29C50B58-99F5-451C-A123-1EB9CA1FFF0F},0.004927204
121,2,163,2,Saddle Horse Corral,Border Imagery 2009,Continental Divide Trail - alternate route,20130306,Imagery, ,Horse Corral, Red Gap Pass Trailhead,,,,T-163,Chief Mountain,839,0.52,Yes,Saddle Horse Corral,,Saddle Horse Corral,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Border Imagery 2009,,,,46589,,{9BAB8704-B6A2-43C1-B653-EB194058A812},Continental Divide Trail - alternate route,Yes,,{0970E04F-0B5B-49E1-A3E7-FE34AC0C44AF},0.010539964
122,3,29,2,Old Flathead River RS,Garmin GPS, ,20120913,Digitized,FRS,Old Ranger Station, N Fork Flathead R at Glacier Rim,,,,T-029,Lake McDonald,7729,4.8,Yes,Old Flathead River RS,,Old Flathead River RS,Park Trail,Existing,Earth,Standard Terra Trail,Class 2: Minor Development,Very Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,44915,,{16B4CE7B-B435-413A-9B63-D917D6978565},,Yes,,{8B9750C4-6445-496E-B044-FD397825007D},0.086116247
123,1,69,4,Harrison Creek,Garmin GPS, ,20120918,Digitized,HLT,Harrison Patrol Cabin, Trail End,,,,T-069,Walton-Two Medicine,407,0.25,Yes,Harrison Creek,,Harrison Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46355,,{98BDF265-7878-4175-A50C-3454DF229228},,Yes,,{2ECD0947-0B75-44A3-B79A-FD72909953CC},0.004652144
124,1,59,2,Upper McDonald Creek,Garmin GPS, ,20120917,Digitized,MVT,McDonald Creek Foot Bridge, Trail End,,,,T-059,Lake McDonald,2957,1.84,Yes,Upper McDonald Creek,,Upper McDonald Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,46181,,{5813FAA4-DAF5-4BBE-AD2D-9689355D06FE},,Yes,,{13859FAE-68D9-4BE9-B26E-B9D717C605A5},0.033626098
131,1,291,1,Sperry Loading Ramp,Trimble Pro XRS,Foot and Horse Use,20050621,dGPS,MVT,Sperry Ramp, Avalanche Tr Jct,,,,T-291,Lake McDonald,207,0.13,Yes,Sperry Loading Ramp,,Sperry Loading Ramp,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46691,,{BC6420B3-9DA4-41AA-AAC6-285F9771D874},,Yes,,{32D5AFE8-CB70-4903-805F-675E201F23D5},0.002568339
132,1,259,1,Johns Lake,DOQ 2002, ,20040211,Imagery,MVT,Avalanche Campground Tr Jct, Going to Sun Rd,,,,T-259,Lake McDonald,447,0.28,Yes,Johns Lake,,Johns Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,DOQ 2002,,,,46614,,{05E2C241-544D-4A88-A9AC-664D27F77677},,Yes,,{255CEFE2-0217-4A62-A261-CE70F1D1AC1C},0.004740091
133,1,67,11,South Boundary,DOQ 2002, ,20050506,Imagery,SBTW,Walton Horse Corral Spur Tr,,,,,T-067,Walton-Two Medicine,373,0.23,Yes,South Boundary,,South Boundary,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,DOQ 2002,,,,46353,,{C5A35F2F-4E90-40EF-AFBE-D736BB23F122},,Yes,,{C7D8018E-FC87-4236-AC99-4DB3ADF9D8AF},0.003697992
134,1,270,2,Apgar Bike Trail,Trimble Pro XRS,Paved trail,20050728,dGPS, ,Apgar area paved path,,,,,T-270,Lake McDonald,121,0.08,Yes,Apgar Bike Trail,,Apgar Bike Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46657,,{8A45CDD4-F040-4CFA-9BAF-58566791F25C},,Yes,,{FD984CD6-3B6F-461C-93EB-E726BCDAE3FE},0.001494597
135,1,120,1,Hidden Lake,USGS 1:24000-scale topo, ,0,Digitized,HLTS,Hidden Lake Tr, Pit Toilet,,,,T-120,Lake McDonald,105,0.07,Yes,Hidden Lake,,Hidden Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,USGS 1:24000-scale topo,,,,46419,,{85A973F3-FF1A-46C6-9CE0-24EDDD7945AB},,Yes,,{A8BDD088-3029-4191-8F4A-D470EAABBEB2},0.001243328
136,1,67,2,South Boundary,Trimble Pro XRS, ,20020627,dGPS,SBTW,Old Belton Bridge, Lincoln Creek Tr Jct,,,,T-067,Lake McDonald,8567,5.32,Yes,South Boundary,,South Boundary,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46353,,{60B46337-9D12-41AE-B558-060D427447F4},,Yes,,{D6929F79-EF26-4801-9E81-3199231EFA09},0.104502483
137,1,113,4,Piegan Pass,Trimble Pro XRS,Continental Divide Trail,20020719,dGPS,PPTM,Gunsight Pass Tr Jct, Going to Sun Road,,,,T-113,Saint Mary,1938,1.2,Yes,Piegan Pass,,Piegan Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46416,,{B7228B41-B90B-43CD-859B-B842EAFEBB6F},Continental Divide Trail,Yes,,{B3C3FF7B-A1BF-4269-AC03-9F4E16F42CBE},0.022053607
138,1,52,11,Gunsight Pass,Trimble Pro XRS, ,20020719,dGPS,SPRT,Florence Falls Tr Jct, Piegan Pass Jct,,,,T-052,Saint Mary,4890,3.04,Yes,Gunsight Pass,,Gunsight Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,46153,,{70D91710-B9F1-4650-ACF7-C1A0BA8D466B},,Yes,,{1B66A6CE-DE79-477E-B396-47D77A648D8E},0.056801065
139,1,52,10,Gunsight Pass,Trimble Pro XRS + Imagery 2009, ,20121031,dGPS,SPRT,Jackson Glacier Tr Jct, Florence Falls Tr Jct,,,,T-052,Saint Mary,3714,2.31,Yes,Gunsight Pass,,Gunsight Pass,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS + Imagery 2009,,,,46153,,{6F1CCE8C-EFA9-4FF7-A974-1C12CED2BCD3},,Yes,,{FC6ECF69-DA7B-430B-AB34-317023257C1F},0.041140366
140,1,120,1,Hidden Lake,PLGR+ GPS,Boardwalk trail,19980730,GPS-old,HLTS,Logan Pass Visitor Center (VC), Hidden L,,,,T-120,Lake McDonald,4046,2.51,Yes,Hidden Lake,,Hidden Lake,Park Trail,Existing,Wood,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,PLGR+ GPS,,,,46419,,{AB72987E-8A63-4D6A-8270-975BF26855F8},Boardwalk trail,Yes,,{71D93AAB-CE29-42F8-92E2-128F86E31B60},0.049521943
141,1,49,1,Mt Brown,Trimble Pro XRS, ,20071029,dGPS,MBLO,Gunsight Pass Tr Jct, Mt Brown LO,,,,T-049,Lake McDonald,5355,3.33,Yes,Mt Brown,,Mt Brown,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45419,,{7189FD65-9440-4F3A-B320-D8E4FED01AC1},,Yes,,{09804C2D-9F5B-4799-AECE-40A9299CB496},0.061176313
142,1,50,1,Snyder Lake,ESRI Imagery 2013, ,20140131,Imagery,SLT,Gunsight Pass Tr Jct, Snyder Lake CG,,,,T-050,Lake McDonald,4132,2.57,Yes,Snyder Lake,,Snyder Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,ESRI Imagery 2013,,,,45420,,{976758F7-9D2D-469F-A98B-6898F5435991},,Yes,,{A7AEAF06-0428-4674-BBD9-488473AE82B8},0.051040518
143,1,47,1,Lincoln Lake,Trimble Pro XRS, ,20021801,dGPS,LILT,Goint to Sun Road, Snyder Ridge Tr Jct,,,,T-047,Lake McDonald,2817,1.75,Yes,Lincoln Lake,,Lincoln Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45417,,{0058668D-4B90-4A46-B859-934D04F9BC05},,Yes,,{FE315CD8-3344-44CD-A3F9-54A9D31A0FC9},0.029852414
144,1,29,1,Old Flathead River RS,NAIP 2011/Jake B, ,20120913,Imagery,FRS,Rubideau Rd, Old Ranger Station,,,,T-029,Lake McDonald,5549,3.45,Yes,Old Flathead River RS,,Old Flathead River RS,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,NAIP 2011/Jake B,,,,44915,,{F16F8B1A-1C88-4C49-9F7E-AE7948C5C39E},,Yes,,{4E82C5DE-6370-4DE1-A4A9-79747C0DB171},0.064417628
145,1,16,1,Quartz Lake,Trimble Pro XRS, ,20031007,dGPS,QLL,Foot Bowman Lake, Quartz Lake Tr Jct,,,,T-016,North Fork,952,0.59,Yes,Quartz Lake,,Quartz Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44898,,{DC49412F-B0F8-4893-8237-9873656FFB76},,Yes,,{6649383E-7AA1-462E-9814-33522F687C94},0.012354059
146,1,16,2,Quartz Lake,Trimble Pro XRS, ,20031007,dGPS,QLL,Quartz Lake Tr Jct, Quartz Lake CG,,,,T-016,North Fork,9114,5.66,Yes,Quartz Lake,,Quartz Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44898,,{3D99A8CD-C770-443B-9753-0B7C422EFB0F},,Yes,,{1260C533-02F5-437D-A931-EC339C4C619E},0.104437319
147,1,16,4,Quartz Lake,Trimble Pro XRS, ,20031007,dGPS,QLL,Lower Quartz Lake CG, Quartz Lake TrJct,,,,T-016,North Fork,5106,3.17,Yes,Quartz Lake,,Quartz Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44898,,{8771D2E5-D372-42DD-8BAF-9EE8A0BA57F1},,Yes,,{77C6001C-CC82-46D3-9407-4FDCC36CE872},0.053734899
148,1,16,3,Quartz Lake,Trimble Pro XRS, ,20031007,dGPS,QLL,Quartz Lake CG, Lower Quartz Lake CG,,,,T-016,North Fork,4963,3.08,Yes,Quartz Lake,,Quartz Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44898,,{A283ABB0-C50B-493A-A9D0-B181EEB19AE6},,Yes,,{3F436163-8227-449B-9934-A491CA33916F},0.055853299
150,1,45,3,Snyder Ridge,Trimble Pro XRS, ,20030701,dGPS,SRT,Lincoln Lake Tr Jct, Fish L,,,,T-045,Lake McDonald,3294,2.05,Yes,Snyder Ridge,,Snyder Ridge,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45416,,{075D68DA-8E43-4305-8C2F-6E0153EF1860},,Yes,,{2B133BEC-A6C0-4969-8112-931C5514CAFB},0.035601003
151,1,45,4,Snyder Ridge,Trimble Pro XRS, ,20030701,dGPS,SRT,Fish L, Gunsight Tr Jct,,,,T-045,Lake McDonald,1528,0.95,Yes,Snyder Ridge,,Snyder Ridge,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,45416,,{DA48AA40-7C91-4050-AED4-A4AC50FAF753},,Yes,,{33040363-98CF-4BBB-9CAD-CA0C9650E493},0.017627219
152,1,20,2,Logging Lake,Trimble GeoXT, ,20120917,dGPS,LLT,Logging Cabin Tr Jct, Logging Campground Tr Jct,,,,T-020,North Fork,351,0.22,Yes,Logging Lake,,Logging Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,44910,,{B6399C4E-A267-452D-B075-56384818A12C},,Yes,,{953BB763-F99C-4615-9D2A-B525692BD450},0.003544388
153,1,20,1,Logging Lake,Trimble GeoXT, ,20120917,dGPS,LLT,North Fork Rd, Logging Cabin Tr Jct,,,,T-020,North Fork,7973,4.95,Yes,Logging Lake,,Logging Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,44910,,{D804B4FF-A2BF-479B-B019-6F42292D7617},,Yes,,{F4BF7E25-1A26-46F1-A4A1-906FB92041F4},0.090102747
154,3,21,1,Logging Cabin,Trimble GeoXT, ,20120917,dGPS,LLT,Logging Lake Tr Jct, Lower Logging Patrol Cabin,,,,T-021,North Fork,260,0.16,Yes,Logging Cabin,,Logging Cabin,Park Trail,Existing,Earth,Standard Terra Trail,Class 2: Minor Development,Very Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble GeoXT,,,,44912,,{E2368CB4-0A13-4B43-B38B-994921360564},,Yes,,{EA1E212B-6506-4B07-8BD8-E419C045EA38},0.003147417
155,1,22,1,Logging Campground,Garmin GPS, ,20120917,Digitized,LLT,Logging Lake Tr Jct, Lower Logging CG,,,,T-022,North Fork,468,0.29,Yes,Logging Campground,,Logging Campground,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Garmin GPS,,,,44904,,{E3158187-60DF-4020-84E3-4A6B2D8C28EF},,Yes,,{63412F3D-61DB-43DA-BD8F-1A437A7CFD2C},0.006132784
156,1,20,3,Logging Lake,Trimble Pro XRS/GeoXT, ,20030630,dGPS,LLT,Logging Campground Tr Jct, Adair CG,,,,T-020,North Fork,6951,4.32,Yes,Logging Lake,,Logging Lake,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Moderate to High Use / Highest level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS/GeoXT,,,,44910,,{274CE850-5427-4AB9-8894-77D244C47CA4},,Yes,,{E2401781-8624-4FF0-B03A-3B91572999F2},0.08666613
158,2,17,1,Quartz Creek,Trimble Pro XRS, ,20031014,dGPS,QCT,North Fork Rd, Lower Quartz Lake CG,,,,T-017,North Fork,11109,6.9,Yes,Quartz Creek,,Quartz Creek,Park Trail,Existing,Earth,Standard Terra Trail,Class 3: Developed,Low Use / Low level of maintenance,Public,Unrestricted,GLAC,Glacier National Park,,IMR,Yes,,,Park Staff,,Trimble Pro XRS,,,,44901,,{45068BFC-7E00-45B6-9276-5466B3E175C9},,Yes,,{0F6D7651-8FC5-46AE-A0DD-0336CD4A596E},0.120193996
